subid,age,sex,mean_FD
sub-THU20240629305CYZ,11.78630137,1,0.166305
sub-THU20240629306WZS,11.29315068,1,0.09042
sub-THU20240629307LJR,9.704109589,1,0.193358
sub-THU20240629308ZAN,11.29315068,2,0.108999
sub-THU20240706310XMD,10.27123288,2,0.104872
sub-THU20240706311XYR,8.021917808,1,0.064714
sub-THU20240706312WXZ,8,1,0.101555
sub-THU20240706313WSZ,13.17534247,1,0.071165
sub-THU20240706314LXB,9.498630137,2,0.122067
sub-THU20240706316XZJ,10.19726027,1,0.127264
sub-THU20240710318ZKM,10.83287671,2,0.103154
sub-THU20240710319LZY,7.301369863,2,0.110929
sub-THU20240711300YXY,9.895890411,2,0.11132
sub-THU20240711320DJJ,18.19452055,2,0.059663
sub-THU20240712323BHY,18.29589041,1,0.113583
sub-THU20240712324LXM,14.82191781,2,0.118089
sub-THU20240712325LSY,8.767123288,1,0.083814
sub-THU20240712326WY,13.89863014,2,0.119507
sub-THU20240713327HLXY,13.51506849,2,0.078816
sub-THU20240713328CJY,16.42465753,2,0.060744
sub-THU20240713329QYC,14.27945205,2,0.10005
sub-THU20240713330HTR,11.3890411,1,0.067328
sub-THU20240713331FZT,11.6630137,1,0.06501
sub-THU20240720332WRK,8.142465753,1,0.102558
sub-THU20240720333PCR,7.652054795,1,0.09771
sub-THU20240720336XYS,8.005479452,1,0.118689
sub-THU20240726338LYS,18.03561644,1,0.118694
sub-THU20240729340YZS,9.657534247,1,0.07853
sub-THU20240729341TYT,10.84657534,1,0.192346
sub-THU20240729342CJW,10.72876712,1,0.048838
sub-THU20240730343LSY,11.36438356,2,0.125918
sub-THU20240730345YZY,10.55068493,2,0.10957
sub-THU20240731348LSH,15.69315068,1,0.113214
sub-THU20240731351BYF,7.610958904,1,0.106042
sub-THU20240803354WTY,7.531506849,2,0.137476
sub-THU20240803355LYC,11.85479452,1,0.094981
sub-THU20240803356HJR,8.539726027,1,0.099218
sub-THU20240803357LWC,12.17260274,1,0.096304
sub-THU20240808358JBR,9.205479452,1,0.118205
sub-THU20240808359ZTQ,10.31232877,1,0.214402
sub-THU20240808360RCY,11.75342466,1,0.131462
sub-THU20240808361GYJ,15.8739726,2,0.056382
sub-THU20240808362LJY,7.742465753,2,0.168958
sub-THU20240810363WZW,10.45205479,1,0.086672
sub-THU20240810364FXT,11.88493151,1,0.106284
sub-THU20240810365DH,20.71506849,1,0.053917
sub-THU20240810366JXX,21.10410959,2,0.058537
sub-THU20240810367JSY,20.43013699,1,0.102588
sub-THU20240812372LRJ,21.71232877,2,0.049748
sub-THU20240813373LXY,10.30958904,1,0.214768
sub-THU20240813374KWG,14.06575342,1,0.110562
sub-THU20240813375LC,19.88493151,1,0.078971
sub-THU20240813376GKY,20.97534247,1,0.054493
sub-THU20240813377YCG,22.02465753,1,0.147588
sub-THU20240813378YJY,15.68493151,2,0.084867
sub-THU20240814379LMH,16.19452055,1,0.090167
sub-THU20240826380ACR,18.70958904,2,0.076445
sub-THU20240826381LJC,21.06027397,1,0.092707
sub-THU20240826382LQH,8.539726027,1,0.098483
sub-THU20240826383SHY,8.528767123,2,0.169261
sub-THU20240826384YW,13.0109589,1,0.128866
sub-THU20240828385SXR,13.76986301,2,0.080164
sub-THU20240828386YXY,9.169863014,2,0.171547
sub-THU20240828387FYX,13.07945205,2,0.080699
sub-THU20240828388ZJH,8.501369863,2,0.123667
sub-THU20240831389WXY,11.5369863,2,0.068109
sub-THU20240831390ZJS,9.630136986,1,0.128547
sub-THU20240831391LHC,10.18630137,1,0.08574
sub-THU20240831392YQH,8.882191781,2,0.075051
sub-THU20240922398SJY,19.4,2,0.08396
sub-THU20240922399WYH,18.9890411,1,0.08125
sub-THU20240922400CLY,19.46575342,2,0.103435
sub-THU20240922401YY,17.90410959,2,0.088323
sub-THU20240924402FXR,20.36164384,2,0.113939
sub-THU20240924403CHY,20.38082192,2,0.085051
sub-THU20240924404XC,19.02191781,2,0.090907
sub-THU20240924405MCL,20.12876712,2,0.151526
sub-THU20240924406LXY,19.41369863,2,0.086947
sub-THU20240926407ZZH,20.54520548,2,0.095154
sub-THU20240926408HX,18.40547945,2,0.089855
sub-THU20240926409ZCH,20.06027397,2,0.074431
sub-THU20240926410LLX,19.59452055,2,0.090462
sub-THU20240926411FJN,19.84931507,2,0.059017
sub-THU20241020413CJL,18.83013699,1,0.120395
sub-THU20241020414ZH,19.73972603,1,0.073589
sub-THU20241020415LYZC,9.950684932,1,0.225328
sub-THU20241026417LCY,10.91232877,1,0.078072
sub-THU20241026418HYX,9.895890411,2,0.129212
